"Timestamp","What is your current age group?","What is your primary occupation?","Which mental health challenges have you experienced in the past year? (Select all that apply)","How would you rate your overall mental well-being in the past six months?","How comfortable are you seeking professional mental health support?","Have you ever sought professional mental health support?","What is your primary source of mental health support?","How effective are your current mental health coping strategies?","What factors do you believe most impact your mental health? (Select top 3 options)","How do you typically manage stress? (Select at most 3 options)","Please indicate your level of agreement with the statement: ""Mental health is as important as physical health.""","What additional support would you find most helpful in improving your mental well-being?"
"2024/12/07 5:21:35 pm GMT-5","18 - 24","Student","Stress;Sleep issues","Good","Comfortable","No","Family","Somewhat effective","Work/school stress;Relationships;Financial concerns","Exercise;Talking to friends/family;Hobbies","Strongly agree","Lessons in school"
"2024/12/07 5:25:26 pm GMT-5","25 - 34","Student","None of the above","Excellent","Very Comfortable","No","Family","Very ineffective","Relationships;Financial concerns;Lack of sleep","Talking to friends/family","Strongly Disagree","My Daughter"
"2024/12/07 5:26:49 pm GMT-5","35 - 44","Employed full-time","Sleep issues","Excellent","Very Comfortable","No","Friends","Very ineffective","Relationships;Health issues;Lack of sleep","Meditation/mindfulness","Strongly agree","Friends"
"2024/12/07 5:29:07 pm GMT-5","18 - 24","Employed part-time","Stress","Excellent","Very Comfortable","No","Friends","Very ineffective","Work/school stress;Relationships;Financial concerns","Exercise","Strongly agree","Family"
"2024/12/07 5:30:04 pm GMT-5","25 - 34","Employed full-time","Stress;Mood swings","Fair","Neutral","No","Family","Somewhat effective","Relationships;Financial concerns;Health issues","Exercise;Meditation/mindfulness","Agree","None"
"2024/12/07 5:31:40 pm GMT-5","45 - 54","Employed full-time","Stress;Sleep issues","Good","Uncomfortable","No","None","Very effective","Financial concerns;Health issues;Global events/uncertainties","Exercise;Meditation/mindfulness","Neutral","None"
"2024/12/07 5:33:48 pm GMT-5","35 - 44","Student","Anxiety","Good","Comfortable","Yes","Friends","Very effective","Work/school stress;Financial concerns;Lack of sleep","Talking to friends/family;Hobbies","Agree","NA"
"2024/12/07 5:37:48 pm GMT-5","45 - 54","Unemployed","Anxiety;Stress;Sleep issues","Fair","Comfortable","No","None","Somewhat effective","Financial concerns;Health issues;Global events/uncertainties","Hobbies;Professional help","Agree","NA"
"2024/12/07 5:56:33 pm GMT-5","18 - 24","Student","Anxiety;Depression;Stress;Sleep issues;Mood swings","Good","Comfortable","No","Family","Somewhat effective","Relationships;Financial concerns;Lack of sleep","Talking to friends/family","Strongly agree","Positive surroundings"
"2024/12/07 6:02:52 pm GMT-5","35 - 44","Employed part-time","Sleep issues","Good","Comfortable","No","Family","Very effective","Work/school stress;Financial concerns;Lack of sleep","Exercise;Meditation/mindfulness;Talking to friends/family","Strongly agree","ok"
"2024/12/07 6:05:48 pm GMT-5","18 - 24","Student","Sleep issues","Poor","Neutral","Yes","Friends","Very effective","Financial concerns;Social media;Global events/uncertainties","Exercise;Talking to friends/family;Professional help","Strongly Disagree","No more"
"2024/12/07 6:13:52 pm GMT-5","18 - 24","Student","Stress;Sleep issues","Fair","Comfortable","No","Family","Very effective","Financial concerns;Health issues;Social media","Exercise;Talking to friends/family;Hobbies","Strongly agree","Peaceful environment "
"2024/12/07 6:14:41 pm GMT-5","25 - 34","Student","Stress;Sleep issues;Mood swings","Fair","Neutral","No","Family","Very effective","Work/school stress;Health issues;Lack of sleep","Exercise;Meditation/mindfulness;Talking to friends/family","Strongly agree","Driving "
"2024/12/07 6:27:25 pm GMT-5","25 - 34","Employed part-time","Depression","Excellent","Uncomfortable","No","Support groups","Very effective","Work/school stress;Financial concerns;Health issues","Exercise;Meditation/mindfulness;Hobbies","Strongly agree","AK"
"2024/12/07 6:48:45 pm GMT-5","18 - 24","Student","Anxiety;Depression;Stress;Sleep issues;Mood swings","Poor","Very Comfortable","No","Friends","Neutral","Work/school stress;Health issues;Lack of sleep","Talking to friends/family","Strongly agree","-"
"2024/12/07 6:57:50 pm GMT-5","18 - 24","Student","Sleep issues","Fair","Comfortable","Yes","None","Neutral","Relationships;Financial concerns;Lack of sleep","Professional help","Neutral","NA"
"2024/12/07 6:58:41 pm GMT-5","55+","Retired","Anxiety;Depression","Good","Uncomfortable","Yes","Family","Neutral","Relationships;Financial concerns;Health issues","Hobbies","Disagree","No"
"2024/12/07 7:18:01 pm GMT-5","25 - 34","Student","Stress;Sleep issues","Fair","Neutral","Yes","Family","Somewhat effective","Work/school stress;Financial concerns;Lack of sleep","Meditation/mindfulness;Talking to friends/family","Strongly agree","Sometimes peaceful songs gives relaxation"
"2024/12/07 8:04:58 pm GMT-5","25 - 34","Student","Depression;Stress;Sleep issues","Fair","Neutral","No","Family","Neutral","Work/school stress;Relationships;Financial concerns","Exercise;Talking to friends/family;Hobbies","Strongly agree","Society support "
"2024/12/07 8:57:37 pm GMT-5","45 - 54","Self-employed","None of the above","Good","Comfortable","No","Family","Very effective","Work/school stress;Relationships;Financial concerns","Exercise;Meditation/mindfulness;Talking to friends/family","Strongly agree","Socialisation "
"2024/12/07 9:07:56 pm GMT-5","18 - 24","Student","Stress;Sleep issues;Mood swings","Fair","Neutral","No","Friends","Neutral","Financial concerns;Health issues;Lack of sleep","Talking to friends/family;Hobbies;Medication","Strongly agree","N/A"
"2024/12/07 9:29:07 pm GMT-5","18 - 24","Student","Mood swings","Good","Neutral","No","Family","Neutral","Work/school stress;Social media;Lack of sleep","Exercise;Talking to friends/family;Hobbies","Agree","Hanging out to get peace"
"2024/12/08 3:31:30 am GMT-5","45 - 54","Employed full-time","None of the above","Excellent","Comfortable","No","Friends","Very effective","Work/school stress;Financial concerns;Health issues","Exercise;Meditation/mindfulness;Talking to friends/family","Strongly agree","Self  Aware and socially contious"
"2024/12/08 3:53:12 am GMT-5","18 - 24","Student","Mood swings","Good","Neutral","No","Family","Neutral","Work/school stress;Social media;Lack of sleep","Exercise;Talking to friends/family;Hobbies","Neutral","Sleep peacefully "
"2024/12/08 8:21:24 am GMT-5","18 - 24","Student","None of the above","Fair","Comfortable","No","Family","Neutral","Work/school stress;Financial concerns;Lack of sleep","Exercise;Hobbies;Professional help","Strongly agree","Family and friends"
"2024/12/08 1:22:25 pm GMT-5","35 - 44","Self-employed","None of the above","Good","Very Uncomfortable","No","Friends","Very effective","Work/school stress;Health issues;Lack of sleep","Meditation/mindfulness","Agree","Nope"
"2024/12/08 1:24:21 pm GMT-5","18 - 24","Employed part-time","None of the above","Fair","Comfortable","Yes","Family","Neutral","Relationships;Financial concerns;Lack of sleep","Professional help;Medication","Strongly agree","NA"
"2024/12/08 1:26:16 pm GMT-5","18 - 24","Student","None of the above","Very Poor","Uncomfortable","No","Family","Very ineffective","Social media;Lack of sleep;Global events/uncertainties","Talking to friends/family;Hobbies","Agree","no"
"2024/12/08 1:29:53 pm GMT-5","25 - 34","Student","Anxiety;Sleep issues","Poor","Neutral","Yes","Professional therapist/counselor","Neutral","Work/school stress;Financial concerns;Global events/uncertainties","Meditation/mindfulness;Talking to friends/family","Strongly agree","No"
"2024/12/08 1:32:22 pm GMT-5","25 - 34","Employed part-time","Anxiety","Excellent","Very Comfortable","Yes","Friends","Very effective","Work/school stress;Relationships;Health issues","Exercise","Strongly agree","Friends"
"2024/12/08 1:33:05 pm GMT-5","35 - 44","Employed full-time","Depression;Stress","Fair","Comfortable","No","Family","Neutral","Work/school stress;Financial concerns;Health issues","Exercise;Talking to friends/family","Strongly agree",""
"2024/12/08 1:33:32 pm GMT-5","25 - 34","Employed full-time","Anxiety;Depression;Stress","Excellent","Very Comfortable","Yes","Professional therapist/counselor","Very effective","Work/school stress;Relationships;Financial concerns","Exercise","Strongly Disagree","Family"
"2024/12/08 1:35:04 pm GMT-5","18 - 24","Self-employed","Sleep issues","Good","Very Comfortable","Yes","Professional therapist/counselor","Very effective","Work/school stress;Relationships;Financial concerns","Exercise;Hobbies","Strongly agree","Family"
"2024/12/08 1:37:06 pm GMT-5","18 - 24","Student","None of the above","Excellent","Very Comfortable","No","None","Very effective","Relationships;Social media;Global events/uncertainties","Medication","Strongly agree","Muuaahhh"
"2024/12/08 1:38:03 pm GMT-5","55+","Retired","None of the above","Excellent","Very Comfortable","Yes","Family","Somewhat ineffective","Work/school stress;Financial concerns;Lack of sleep","Exercise","Strongly Disagree","Namaste"
"2024/12/08 1:39:23 pm GMT-5","35 - 44","Unemployed","Mood swings","Good","Comfortable","No","Professional therapist/counselor","Somewhat ineffective","Relationships;Health issues;Lack of sleep","Talking to friends/family;Professional help","Strongly Disagree","Jai samaikya Andhra"
"2024/12/08 1:40:39 pm GMT-5","35 - 44","Employed part-time","Depression","Fair","Neutral","Yes","Online resources","Somewhat ineffective","Social media;Lack of sleep;Global events/uncertainties","Talking to friends/family","Neutral","Ooooooyyyyeeeaaaaaa"
"2024/12/08 1:47:23 pm GMT-5","25 - 34","Student","Anxiety;Depression;Stress;Sleep issues;Mood swings","Very Poor","Very Comfortable","Yes","None","Somewhat effective","Financial concerns;Health issues;Social media","Exercise;Meditation/mindfulness;Hobbies","Strongly agree","Hobbies"
"2024/12/08 1:47:51 pm GMT-5","18 - 24","Student","Depression;Sleep issues;None of the above","Poor","Uncomfortable","Yes","None","Neutral","Relationships;Social media;Global events/uncertainties","Meditation/mindfulness;Hobbies;Medication","Neutral",""
"2024/12/08 1:48:28 pm GMT-5","25 - 34","Employed part-time","Depression;Sleep issues;None of the above","Fair","Uncomfortable","No","Online resources","Somewhat effective","Financial concerns;Social media;Lack of sleep","Meditation/mindfulness;Professional help;Medication","Neutral",""
"2024/12/08 1:49:04 pm GMT-5","25 - 34","Employed part-time","Stress;Sleep issues;Mood swings","Fair","Uncomfortable","Yes","Professional therapist/counselor","Neutral","Relationships;Financial concerns;Social media","Meditation/mindfulness;Hobbies;Professional help","Neutral",""
"2024/12/08 1:49:05 pm GMT-5","25 - 34","Employed part-time","Anxiety;Depression;Stress;Sleep issues","Poor","Neutral","No","Professional therapist/counselor","Neutral","Work/school stress;Relationships;Health issues","Talking to friends/family;Hobbies;Professional help","Neutral","Therapist"
"2024/12/08 1:49:39 pm GMT-5","18 - 24","Employed full-time","Depression;Sleep issues;Mood swings","Poor","Neutral","No","Friends","Somewhat effective","Financial concerns;Social media;Global events/uncertainties","Talking to friends/family;Professional help;Medication","Agree",""
"2024/12/08 1:50:13 pm GMT-5","25 - 34","Employed part-time","Depression;Sleep issues;Mood swings","Fair","Uncomfortable","No","Professional therapist/counselor","Somewhat effective","Financial concerns;Social media;Global events/uncertainties","Meditation/mindfulness;Hobbies;Medication","Neutral",""
"2024/12/08 1:50:35 pm GMT-5","25 - 34","Student","Stress;Sleep issues;Mood swings","Good","Comfortable","No","None","Somewhat ineffective","Work/school stress;Relationships;Social media","Meditation/mindfulness;Hobbies","Neutral",""
"2024/12/08 1:50:39 pm GMT-5","18 - 24","Unemployed","None of the above","Excellent","Very Comfortable","No","None","Very ineffective","Financial concerns;Health issues;Social media","Talking to friends/family;Hobbies;Medication","Neutral","Professional help"
"2024/12/08 1:50:44 pm GMT-5","25 - 34","Retired","Stress;Sleep issues;None of the above","Good","Uncomfortable","Yes","Online resources","Somewhat ineffective","Financial concerns;Lack of sleep;Global events/uncertainties","Meditation/mindfulness;Hobbies;Medication","Neutral",""
"2024/12/08 1:51:19 pm GMT-5","35 - 44","Self-employed","Stress;Sleep issues;None of the above","Fair","Neutral","No","Professional therapist/counselor","Neutral","Financial concerns;Social media;Global events/uncertainties","Exercise;Talking to friends/family;Medication","Strongly agree",""
"2024/12/08 1:51:24 pm GMT-5","35 - 44","Self-employed","None of the above","Excellent","Neutral","No","Friends","Neutral","Work/school stress;Relationships;Financial concerns","Exercise;Meditation/mindfulness;Talking to friends/family","Neutral","Exercise"
"2024/12/08 1:51:49 pm GMT-5","18 - 24","Student","Anxiety;Stress;Sleep issues","Good","Comfortable","Yes","Online resources","Neutral","Work/school stress;Financial concerns;Lack of sleep","Hobbies;Professional help","Agree",""
"2024/12/08 1:52:06 pm GMT-5","25 - 34","Employed part-time","Depression;Sleep issues;None of the above","Good","Uncomfortable","No","Professional therapist/counselor","Somewhat effective","Financial concerns;Social media;Lack of sleep","Meditation/mindfulness;Professional help;Medication","Strongly agree",""
"2024/12/08 1:52:20 pm GMT-5","45 - 54","Retired","Anxiety;Depression;Stress;Sleep issues;Mood swings","Excellent","Very Comfortable","Yes","Professional therapist/counselor","Neutral","Health issues;Social media;Lack of sleep","Meditation/mindfulness;Talking to friends/family;Hobbies","Neutral","Online resources"
